year,LootBox,Pay to Win,Cosmetic
14/05/2015,66.59686827,17.54778645,79.21216527
21/05/2015,66.51763474,16.63154292,77.9115069
28/05/2015,68.553526,15.55136917,79.21322373
04/06/2015,66.97645148,15.8406934,77.34004497
11/06/2015,63.81871046,15.5823901,75.37119883
18/06/2015,61.79355374,15.31070985,74.12985942
25/06/2015,62.35147794,15.82109626,74.32704285
02/07/2015,62.35405968,15.55621446,72.84114415
09/07/2015,64.84686314,17.0252138,75.03712922
16/07/2015,65.82665844,17.20983304,75.64702466
23/07/2015,66.3495067,16.95243328,75.93302254
30/07/2015,67.35780283,17.09508476,76.74833858
06/08/2015,68.58110199,16.07814776,77.47790905
13/08/2015,68.45602716,15.77849942,77.13206202
20/08/2015,69.96037036,14.43233202,79.16542733
27/08/2015,68.48859668,15.24802988,78.08913206
03/09/2015,66.88639402,17.10065609,78.64032603
10/09/2015,67.88068564,16.86894763,79.56267032
17/09/2015,68.58273007,16.28312825,79.5380506
24/09/2015,69.00770737,16.13077341,79.76612806
01/10/2015,68.73092708,16.20459,79.58050738
08/10/2015,69.24456399,15.34747981,79.02346413
15/10/2015,68.42540623,15.72200336,79.05866605
22/10/2015,67.53182833,16.12710549,79.38972786
29/10/2015,66.41592097,16.89095978,79.25891639
05/11/2015,65.587042,20.02147835,79.83706791
12/11/2015,60.11397823,26.56426248,82.08979952
19/11/2015,63.41378757,23.11035399,81.49291965
26/11/2015,61.69086379,21.48915222,78.86866021
03/12/2015,64.88272667,20.32541728,80.29172243
10/12/2015,65.95390036,19.57588369,80.03964938
17/12/2015,65.0366591,20.05671164,78.8785356
24/12/2015,60.20057363,19.9510516,75.85907352
31/12/2015,58.2547568,19.91091907,74.69509188
01/01/2016,59.55397205,19.3938677,75.72263145
08/01/2016,63.33618531,18.28913006,77.12802294
15/01/2016,64.1120474,17.43555538,76.79323102
22/01/2016,65.23938335,17.78891789,77.59926401
29/01/2016,65.99678196,17.90226398,78.66422955
05/02/2016,63.45434172,16.78428427,79.1609183
12/02/2016,64.47426269,17.17930497,79.20323107
19/02/2016,67.47264471,15.82834414,80.5203513
26/02/2016,67.29958136,16.18161311,79.50300851
04/03/2016,68.5009368,17.23955943,79.70085763
11/03/2016,68.68707487,18.08861583,79.74140869
